STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT08,WT09
USW00013891,"KNOXVILLE AIRPORT, TN US",6/7/2019,5.59,,1.13,0,0,72,79,68,270,270,18.1,21,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/8/2019,5.37,,0.25,0,0,72,80,67,70,90,13,15,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/9/2019,4.92,,1.07,0,0,73,83,68,160,170,19.9,23,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/10/2019,7.16,,0.12,0,0,74,84,67,350,10,18.1,31.1,1,,,,,1,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/11/2019,11.86,,0,0,0,69,77,59,30,40,21.9,27.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/12/2019,5.14,,0.35,0,0,66,72,59,40,50,15,17,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/13/2019,10.29,,0.24,0,0,68,75,59,250,250,18.1,21.9,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/14/2019,3.13,,0,0,0,65,79,50,30,40,15,18.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/15/2019,7.16,,0,0,0,69,84,54,230,240,21,25.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/16/2019,10.74,,0,0,0,78,89,69,200,220,19.9,23.9,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/17/2019,6.49,,0.07,0,0,79,89,71,260,290,23,30,,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/18/2019,3.13,,0.91,0,0,73,79,69,150,150,14.1,15,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/19/2019,8.05,,0.36,0,0,75,84,67,250,250,32,38.9,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/20/2019,10.74,,0.4,0,0,74,80,66,240,240,33.1,42.9,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/21/2019,5.59,,0.41,0,0,74,83,64,310,310,29.1,49,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/22/2019,7.38,,0.2,0,0,73,80,66,330,340,21.9,25.9,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/23/2019,6.26,,0.6,0,0,75,86,68,300,310,21.9,28,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/24/2019,9.62,,0.46,0,0,78,87,68,280,290,38,50.1,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/25/2019,5.37,,0,0,0,74,85,66,260,260,14.1,18.1,1,1,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/26/2019,2.01,,0,0,0,76,89,65,320,90,8.9,11,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/27/2019,4.25,,0,0,0,78,90,66,120,110,10.1,14.1,,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/28/2019,3.58,,0.09,0,0,77,89,69,180,180,23,33.1,,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/29/2019,2.91,,0,0,0,76,89,64,30,30,12.1,14.1,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",6/30/2019,4.7,,0.06,0,0,80,90,70,240,230,13,15,,,,,,1,
USW00013891,"KNOXVILLE AIRPORT, TN US",7/1/2019,3.13,1509,0,0,0,81,92,70,330,350,8.9,12.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",7/2/2019,3.58,1550,0,0,0,81,92,72,10,10,23.9,33.1,,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",7/3/2019,4.25,2115,0.55,0,0,79,90,69,160,220,21,25.1,1,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",7/4/2019,4.25,1644,0,0,0,77,90,67,330,330,13,16.1,,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",7/5/2019,4.47,2203,0,0,0,80,91,71,230,220,14.1,17,1,,,,,1,
USW00013891,"KNOXVILLE AIRPORT, TN US",7/6/2019,6.49,1359,0,0,0,81,91,71,230,230,13,17,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",7/7/2019,4.92,1552,0,0,0,80,92,72,160,160,21,27.1,,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",7/8/2019,5.59,1700,0,0,0,80,92,71,10,20,15,17,1,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",7/9/2019,4.92,1940,0,0,0,83,95,73,220,220,12.1,14.1,,,1,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",7/10/2019,3.58,1506,0,0,0,82,93,73,280,270,12.1,16.1,,,,,,,
USW00013891,"KNOXVILLE AIRPORT, TN US",7/11/2019,6.26,1818,0.61,0,0,80,87,73,260,260,25.1,35.1,1,,1,,,,
